Propanenitrile,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-5.73634,14.975,0.507482,79172
-5.68474,14.8493,0.352959,106786
-5.63052,14.4246,-0.0213393,32455
-5.55383,10.9506,-0.580206,47565
-5.50185,11.1338,-0.836371,115121
-5.45008,10.7644,-0.976001,58070
-5.37774,12.4975,-0.485645,17125
-5.31637,12.5969,-0.309697,81025
-5.26484,12.2273,-0.334772,109054
-5.20096,12.5017,-0.335388,63177
-5.14064,12.8383,-0.366101,114725
-5.08954,12.8371,-0.366541,67852
-5.02036,12.3381,-0.432107,17188
-4.95577,10.8834,-0.175916,75564
-4.90482,10.425,0.0127236,110873
-4.85256,10.4061,0.0596762,30045
-4.77272,14.1091,1.01098,20270
-4.71787,14.7433,1.11645,96932
-4.66665,14.8214,1.04003,93260
-4.60186,12.3067,1.07055,39279
-4.53834,10.3506,0.221902,96774
-4.48699,10.3564,-0.486805,92764
-4.42876,9.98586,-1.12455,20341
-4.35385,8.23191,0.114715,54073
-4.30254,8.19506,-0.205717,116539
-4.25035,8.01076,-0.556096,49509
-4.17537,12.1408,-0.858669,22253
-4.11752,12.5542,-0.67715,93667
-4.06671,12.0837,-0.596321,95955
-4.00275,10.473,-0.385312,35415
-3.93754,9.72512,-0.137619,88170
-3.88567,9.16724,-0.05379,99543
-3.83302,9.08205,-0.070772,22708
-3.75265,12.5139,0.532241,7902
-3.69459,12.713,0.370641,60735
-3.64315,12.3177,0.440165,115210
-3.58951,12.0039,0.496646,45105
-3.51474,13.6352,0.682523,50865
-3.46197,13.6313,0.569432,115629
-3.40989,13.3952,0.434906,56949
-3.33493,11.1445,0.258609,30075
-3.27911,10.5162,0.201391,105135
-3.22774,10.382,0.160835,83314
-3.16393,11.7671,0.574076,22421
-3.09586,13.3113,0.800185,76440
-3.04465,12.9944,0.619718,109138
-2.98355,11.563,0.454935,54142
-2.91875,9.74804,0.436392,102586
-2.86734,9.82629,0.149032,87687
-2.80398,10.5899,0.22468,26510
-2.73615,11.2933,0.58903,76277
-2.68471,11.0551,0.587522,108606
-2.63166,11.3104,0.379587,31060
-2.5531,14.6109,1.20284,30529
-2.49964,14.3771,1.07454,108498
-2.4465,13.6682,0.952261,86987
-2.37788,10.4804,1.02797,86280
-2.32462,9.91181,0.91456,110742
-2.27183,9.96131,0.696978,32345
-2.19274,10.5605,0.665969,31001
-2.13949,10.3826,0.215409,108515
-2.08824,10.3635,-0.0941186,76999
-2.02006,14.326,-0.411045,28406
-1.95772,16.9269,-0.0881296,88592
-1.90563,16.9346,0.243216,99412
-1.84176,13.078,0.679501,45326
-1.77891,8.80848,1.14712,103051
-1.72735,8.33717,1.27715,86678
-1.66939,9.7429,1.27282,17862
-1.59386,14.0339,0.302097,50355
-1.54205,13.8174,0.353003,116204
-1.4906,13.6406,0.291993,53304
-1.42842,12.8756,0.688738,6179
-1.35166,11.4809,1.03016,34169
-1.30017,11.024,0.758587,112081
-1.24902,11.0162,0.421937,71241
-1.18107,11.2687,0.429937,18432
-1.11613,11.9541,0.677926,75579
-1.06469,11.9839,0.343611,108950
-1.00674,12.5807,0.223763,40230
-0.93632,14.1348,-0.127853,80934
-0.885161,14.2651,-0.298814,111362
-0.829958,14.2611,-0.425224,31202
-0.754088,13.8489,-0.0944798,54495
-0.702733,14.0305,-0.460999,117912
-0.648808,13.954,-0.699941,53352
-0.575773,13.5169,-0.925596,59989
-0.522928,13.6187,-1.36493,115738
-0.470877,13.5738,-1.7581,46208
-0.404532,13.2303,-0.376686,6622
-0.332802,12.0625,1.33698,42676
-0.281416,11.2801,0.73338,117134
-0.22852,11.0344,0.237324,64620
-0.15636,10.6998,0.55034,56563
-0.101954,10.0162,0.758325,114965
-0.0502213,9.43765,0.221441,53416
0.025326,7.56164,-0.125134,34462
0.0805593,7.23444,-0.476627,110757
0.131955,7.74639,-0.549665,76340
0.202183,10.3479,-0.462057,38095
0.260667,11.6453,-0.662628,107339
0.311434,12.2478,-1.02188,80125
0.366074,13.6979,-1.27156,11022
0.449868,10.7669,1.43462,16881
0.502728,10.6969,1.13899,92863
0.553202,10.6565,0.668571,97713
0.606867,9.88467,0.435853,19571
0.689003,6.60526,0.397098,17979
0.742489,7.12405,-0.0780034,96584
0.795186,7.66891,-0.663127,109274
0.860234,9.7815,-0.610896,98152
0.914763,10.0096,-0.774601,104997
0.966555,9.57968,-1.2322,26992
1.02711,9.45643,-0.389459,1589
1.11147,7.84107,4.76728,10316
1.16406,8.34582,4.4813,73657
1.21719,7.99355,3.85279,121297
1.27829,7.31297,1.06614,111458
1.33516,6.89588,0.222292,103650
1.3884,6.40556,0.756605,32688
1.46646,4.20539,3.86958,16137
1.5232,3.54204,3.97111,84359
1.5748,2.79859,3.70756,103590
1.62615,2.15922,3.05635,24289
1.70689,4.27387,3.42478,5504
1.76605,5.62257,3.55405,51272
1.8178,5.74247,3.18472,116655
1.87163,5.59991,3.04785,57470
1.94373,5.49968,3.42537,70595
1.99609,5.35914,3.04576,114845
2.05181,4.81228,2.89788,44545
2.1243,3.36941,2.91801,70230
2.17598,3.10173,2.54722,114396
2.23129,3.0882,2.05766,42864
2.30442,3.66023,0.756957,65383
2.35635,3.8809,0.526757,114767
2.41061,3.69543,0.564303,44265
2.48502,0,1.35305,57158
2.53737,0.714576,0.877826,116893
2.5889,2.07584,0.205298,48054
2.64383,2.84899,0.107133,3606
2.73252,3.83892,2.42224,5352
2.78564,4.00995,2.24817,57873
2.83732,3.67645,1.93021,116521
2.89565,3.92524,1.87503,69436
2.96046,4.19484,1.98047,104676
3.01256,4.42433,1.66235,86507
3.07801,2.78739,2.05819,28642
3.14289,0.995453,1.84071,91326
3.19454,1.02843,1.40544,104315
3.26028,2.63142,1.07605,79473
3.31704,3.07075,0.793032,118854
3.36903,3.29613,0.464699,45690
3.44678,2.53245,0.807637,32770
3.50018,2.82561,0.227441,110322
3.55294,2.94264,-0.21721,82780
3.62237,3.73462,-0.360107,74792
3.67645,3.79584,-0.66223,113337
3.7284,4.35488,-0.811076,39645
3.80098,4.35267,-0.519628,7076
3.86612,3.31144,-0.026678,48593
3.91842,2.93638,-0.165012,113175
3.97115,2.92035,-0.0249208,59299
4.04435,2.35399,0.35182,52322
4.09843,1.958,-0.102122,116897
4.15099,1.90757,-0.612809,59210
4.22462,2.63877,0.0131478,56926
4.2776,2.66444,-0.389274,118621
4.33324,2.37966,-0.896553,62633
4.40288,0.19642,-0.838763,93156
4.4535,0.3048,-1.54765,103862
4.51547,1.64268,-1.47821,33991
4.58293,3.45797,-1.2933,88206
4.6341,3.71152,-1.70087,104103
4.69259,3.26022,-2.14157,29084
4.76464,1.29634,-1.77803,67899
4.8161,1.19911,-2.2573,115407
4.87372,1.50548,-2.60652,49076
4.94276,2.21483,-3.14098,89290
4.99435,2.43714,-3.83379,102858
5.0482,2.58495,-4.1358,24474
5.12751,2.37166,-3.29249,32613
5.18032,2.69102,-3.16628,115768
5.2367,2.51341,-3.68327,111184
5.29803,2.36014,-3.95896,125541
5.34987,2.90802,-4.42667,62776
5.40391,2.98294,-4.84485,6240
Hexane,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-7.45639,17.0418,2.92599,552
-7.40306,15.3215,0.193618,18759
-7.35094,15.4853,-0.548961,96801
-7.29959,15.5263,-1.1312,93662
-7.24655,15.5239,-1.55605,17895
-7.16389,17.2114,0.807907,19638
-7.11077,17.1953,0.396535,95757
-7.05883,17.0007,-0.00222438,98457
-6.99186,15.667,-0.400811,72542
-6.93561,15.5129,-0.677679,117484
-6.88413,15.3058,-0.971453,47382
-6.81683,15.6977,-0.0637272,6165
-6.74559,14.0467,1.77109,38511
-6.69363,14.1318,1.42242,113825
-6.6405,14.381,0.923192,70791
-6.56991,16.0886,-0.00215718,62547
-6.51557,16.016,-0.292147,113641
-6.4601,15.6941,-0.317537,58004
-6.38982,14.9428,-0.5523,77023
-6.33721,14.5494,-0.953064,108826
-6.28412,14.5307,-1.11472,35798
-6.20624,15.4154,0.98013,25987
-6.15162,15.6465,0.75291,101955
-6.10088,15.2978,0.594409,85789
-6.04409,15.4963,0.362299,16380
-5.96552,16.0481,1.45491,34648
-5.91309,16.6222,1.38667,110033
-5.86167,16.6592,0.992908,72703
-5.79228,15.6398,1.55615,23686
-5.73015,15.6898,1.56028,87118
-5.67845,15.4832,0.946709,102346
-5.61471,12.8608,0.710179,48157
-5.5519,11.153,0.91862,106747
-5.50097,11.1293,0.809868,83097
-5.44643,11.1346,0.431806,13120
-5.36328,15.1785,1.58485,22843
-5.31148,15.896,0.933929,101275
-5.26019,15.8486,0.448247,88674
-5.19987,14.7797,0.353448,19745
-5.12765,12.7551,0.34447,57161
-5.07565,12.7333,0.350354,111644
-5.02083,12.8835,0.522135,55095
-4.9495,12.6952,0.813529,70030
-4.8968,12.5917,0.515321,113098
-4.84364,12.6538,0.483505,40991
-4.76678,15.7823,0.919263,32781
-4.71258,16.1976,0.647606,111462
-4.66179,16.2382,0.0432537,77377
-4.5899,16.6515,0.688267,40004
-4.53296,16.7877,0.691892,106608
-4.48061,16.7495,0.65646,77525
-4.41209,17.6925,1.01641,34715
-4.35172,18.1205,1.12217,99487
-4.29997,17.8447,0.991075,88037
-4.24642,17.1466,0.709996,16082
-4.16408,15.6632,1.40766,19360
-4.11105,15.7372,0.789397,93529
-4.05933,15.828,0.458968,94840
-3.99961,14.6345,0.398045,26591
-3.92833,12.9287,0.738127,64514
-3.87627,13.2518,0.567602,113476
-3.81897,13.2492,0.45461,53637
-3.75044,13.0256,0.9475,84759
-3.69833,12.8307,0.940779,103322
-3.64533,12.4995,1.0226,27822
-3.56493,16.0943,2.25291,22521
-3.51136,16.599,1.56182,100663
-3.45992,16.329,1.12612,89954
-3.3942,14.6078,1.12954,34922
-3.33123,12.6351,1.23774,96154
-3.27971,12.7326,0.907673,92537
-3.22688,12.8248,0.473596,18168
-3.14623,16.7842,2.3382,3919
-3.08621,16.6188,2.00833,45420
-3.03403,16.3074,1.43157,117325
-2.97584,14.0196,0.736889,102447
-2.91498,11.0001,0.59872,120618
-2.86276,10.6648,0.561295,60055
-2.80624,9.97684,0.477018,6786
-2.72398,13.0604,0.660548,23428
-2.67145,13.6109,0.422528,99995
-2.61977,13.4552,0.197963,89150
-2.55165,13.6832,0.911823,48667
-2.49303,13.985,0.880221,109951
-2.43803,13.9641,0.618087,90912
-2.37224,14.3048,-0.456059,100123
-2.31911,14.2733,-0.625557,99101
-2.26018,14.0222,-0.886354,26732
-2.18795,11.5734,0.349724,66155
-2.13647,11.316,0.100424,115467
-2.08549,10.9343,-0.687644,37373
-2.01534,13.1076,0.454277,4407
-1.94522,14.4501,2.53207,33552
-1.89272,14.5788,2.47896,112621
-1.8357,13.1486,1.50256,113255
-1.77499,10.5914,-0.349834,120507
-1.72217,10.3437,-0.717362,65021
-1.66149,9.78272,-0.567071,10014
-1.58554,10.8232,-0.142473,36269
-1.53345,10.6169,-0.137126,111793
-1.48202,10.2666,-0.397053,69312
-1.41352,10.0934,0.220936,19063
-1.34947,9.51725,0.627242,73618
-1.29724,9.3159,0.994622,104868
-1.24459,8.6087,1.09875,35771
-1.16776,13.5798,2.13805,11754
-1.1089,13.5704,2.54076,69595
-1.05676,13.5902,2.78397,108228
-1.0043,13.6401,2.95095,37302
-0.933168,11.7535,4.34399,6236
-0.866196,9.13468,4.52658,41506
-0.813993,8.57584,4.93336,111111
-0.762321,9.1945,4.92071,63787
-0.695664,9.4748,4.95272,14317
-0.6278,9.42092,4.82056,61217
-0.576163,9.2288,4.56271,114029
-0.521212,9.31978,4.18924,49165
-0.448862,7.08788,4.42749,66590
-0.396229,7.16941,3.78781,115747
-0.337058,7.70541,3.40679,63355
-0.272011,8.34187,3.21378,109097
-0.220528,8.81462,2.51617,88174
-0.150976,13.2069,2.19742,50778
-0.0940273,14.4169,1.62836,115694
-0.0414183,14.2431,1.11265,66924
0.0311848,12.2235,1.16959,63520
0.0840231,12.0788,0.298696,122210
0.139695,11.4122,-0.57461,53522
0.210174,8.91565,-1.03729,86685
0.261891,8.47141,-1.56678,107405
0.325748,8.3681,-2.0194,54220
0.387014,8.26885,-2.67478,113873
0.440172,7.83112,-3.39455,83697
0.509347,5.28239,-3.53664,77829
0.563187,5.20121,-3.63018,111253
0.618159,5.54366,-3.84952,41939
0.691868,8.94628,-3.81915,61886
0.743866,9.15928,-4.18524,113669
0.79603,9.25087,-4.33498,45017
0.855463,8.72151,-4.12864,4147
0.936669,8.43284,-2.2454,16071
0.98924,8.12927,-2.03022,81577
1.04223,7.86032,-1.3341,97882
1.09505,7.66787,-0.845794,29544
1.1498,7.83242,-1.17126,1829
1.23869,12.0209,1.48742,2882
1.29422,12.3867,2.86163,33529
1.34673,12.5321,3.20593,101664
1.39949,12.3365,3.87642,75032
1.45284,12.1315,4.33595,13741
1.53257,9.36757,6.32524,3286
1.59391,7.75688,7.02008,34224
1.64704,7.91346,7.22771,102215
1.69944,7.77962,7.29862,76335
1.76653,9.82948,7.63347,27866
1.82972,11.6556,8.1744,90256
1.88084,11.8061,7.92226,98893
1.93373,11.2371,7.73831,22290
2.01607,7.95367,8.29444,17489
2.06962,8.38532,7.55924,97067
2.12092,8.85201,6.64324,102284
2.18834,8.87853,6.43627,73451
2.24408,8.97124,5.97889,119425
2.29788,10.0067,5.10168,48493
2.37204,15.5064,4.69529,67418
2.42325,15.6164,3.7033,121830
2.48299,15.478,3.06278,56292
2.54865,15.5742,2.2163,112746
2.60299,14.21,0.984608,116072
2.6661,10.9461,0.16243,122444
2.71848,10.7148,-0.679869,76193
2.79086,10.642,-1.51742,43221
2.84753,11.1487,-2.5604,127059
2.90492,10.7498,-3.35962,141769
2.96201,10.1715,-4.37984,121103
3.02586,8.37786,-5.20446,68625
3.08586,6.9559,-6.03398,121657
3.14099,7.43014,-6.94464,76648
3.20874,10.283,-7.85123,103592
3.26141,10.1419,-8.65185,105697
3.32796,8.66039,-9.48028,90865
3.38232,8.36803,-9.94487,113148
3.44285,8.87357,-10.4531,49636
3.50885,9.78469,-11.2304,100651
3.56002,9.68287,-11.6616,92493
3.61335,10.0154,-12.1118,15656
3.69642,11.0925,-11.9565,15342
3.75029,10.9099,-11.7351,85415
3.8014,11.1332,-12.0641,102566
3.8551,11.2155,-12.0787,24452
3.93442,10.0866,-10.9827,27597
3.98776,9.66529,-10.792,102268
4.0396,9.32032,-10.4937,82017
4.093,9.55105,-9.88945,14856
4.14885,8.9753,-9.73794,508
4.37286,27.8399,11.952,1
4.37291,0,22.5513,1
4.37952,23.5729,-9.92472,1
4.42307,8.20719,3.50975,996
4.47607,9.07568,2.71966,24128
4.52844,9.10208,2.61259,103614
4.57951,8.71636,2.41106,85484
4.64505,8.40999,1.98388,27070
4.71005,8.37652,1.44973,88760
4.76097,8.6816,0.792925,102760
4.81268,8.84441,0.184157,21389
4.86813,7.7044,-1.10256,813
Acrylonitrile,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-5.00914,3.31448,0.976742,273
-4.95322,1.2173,1.92511,9223
-4.90043,0.251609,1.53053,74121
-4.84956,0,1.20974,111288
-4.79515,2.60329,0.672596,34225
-4.71867,27.6835,2.16799,50696
-4.66692,28.6492,1.88005,119784
-4.61568,28.4592,1.65326,52085
-4.53909,29.3617,1.74048,22349
-4.48266,29.5675,1.91646,100538
-4.43249,29.3747,1.24846,93919
-4.37943,29.4268,1.12952,14068
-4.29493,30.2175,2.42052,14141
-4.24193,29.1669,2.38497,86058
-4.19021,28.9329,2.4485,103219
-4.12634,28.2152,2.35197,51006
-4.06406,27.8028,2.09293,109929
-4.01325,27.441,1.67121,80900
-3.94432,26.8422,2.12568,29549
-3.88259,25.999,1.971,97646
-3.83156,25.8484,1.29866,93601
-3.76529,26.8894,1.54054,40572
-3.70387,27.2787,1.81442,108822
-3.65331,26.9772,1.46491,83429
-3.59679,26.6081,1.50376,12541
-3.51633,26.577,2.19634,36175
-3.46528,26.5034,1.48802,117459
-3.4145,25.8523,0.663898,66830
-3.34232,23.9225,0.229886,21841
-3.28198,23.1149,0.955579,92791
-3.23114,22.9507,0.738622,100825
-3.16555,24.0416,1.07872,43187
-3.10365,24.7924,0.419317,107739
-3.05221,24.0466,-0.0559551,86453
-2.98202,11.6273,0.62769,63036
-2.92732,8.92937,-0.118279,120848
-2.8754,9.72542,-0.807352,50133
-2.79888,24.7944,-0.0680856,43305
-2.74583,26.1678,-1.00788,119024
-2.695,26.3396,-2.16886,61959
-2.6206,23.5037,-1.88107,26295
-2.56313,22.7776,-1.45844,103433
-2.51226,22.5,-1.59215,88932
-2.44519,14.9509,-1.37473,32134
-2.38276,9.65033,-1.8084,101235
-2.33206,10.7112,-2.13607,92816
-2.26593,19.784,-1.0885,33102
-2.20266,26.1745,-1.53025,98618
-2.15189,26.5265,-3.33108,95673
-2.08552,26.5645,-3.51793,35791
-2.02326,26.4283,-2.49914,107747
-1.97294,26.8887,-2.78983,87835
-1.9082,28.7635,-2.49625,19836
-1.84048,31.0192,-2.53388,75935
-1.78976,31.3328,-2.72586,111988
-1.73565,31.4007,-2.86246,32484
-1.65827,31.2859,-1.00148,45115
-1.60644,31.5881,-2.2461,118680
-1.55516,31.8256,-3.17548,57207
-1.48223,30.538,-2.29634,14479
-1.42099,29.6405,-2.56839,80187
-1.36986,30.0057,-2.6928,109308
-1.31805,30.445,-3.2542,28184
-1.23609,33.9167,-0.718205,20291
-1.18302,33.7285,-1.43394,98019
-1.13175,33.8033,-1.88259,92094
-1.07947,33.753,-2.58602,17128
-0.994681,34.7443,-0.705274,12457
-0.941523,35.3456,-0.807505,88777
-0.890119,35.6444,-0.561534,107058
-0.824715,33.3486,-0.410186,71273
-0.766637,32.1454,-0.84586,115495
-0.714329,32.4022,-1.45776,56526
-0.6389,33.9367,-0.747842,30895
-0.584079,33.9405,-0.711376,112676
-0.533909,33.8522,-0.702252,79222
-0.465687,36.4013,-0.00743937,19577
-0.401101,38.1306,-0.543487,81065
-0.349829,37.687,-0.753396,107599
-0.293313,36.5962,-0.908317,32266
-0.219824,32.9325,-0.252364,65774
-0.168448,32.8817,-0.714822,116578
-0.116864,33.6649,-0.890885,38386
-0.0392018,32.9595,0.0994186,10742
0.019232,33.1594,-0.0399824,69941
0.0713917,33.3551,0.0529775,108672
0.123918,33.1423,-0.0662364,38997
0.202139,32.2936,-0.35884,19728
0.257735,31.0445,-0.374693,92593
0.308796,31.0926,-0.571533,96475
0.372481,31.1997,-0.789724,35666
0.43746,30.4041,-1.03701,92125
0.489194,30.5742,-1.157,100157
0.55498,28.6332,-0.7026,57281
0.614669,27.2902,-0.493159,115148
0.665868,27.1346,-0.599616,67230
0.730442,26.9482,-0.840549,12298
0.800898,27.5949,-0.354634,55348
0.852547,28.1079,-0.279352,117047
0.903837,28.0453,-0.337876,47119
0.974187,29.1793,0.0734455,6588
1.04213,31.0643,-0.00321903,47684
1.09319,30.5619,-0.468648,122291
1.14396,30.8289,-0.802152,50315
1.21471,30.2399,0.166406,8720
1.28136,28.1035,0.362384,59719
1.33184,28.349,0.0214602,119243
1.38394,28.3366,-0.23778,42846
1.46223,29.6878,0.148186,27919
1.51619,29.2132,0.116195,111034
1.56631,28.5897,-0.15255,79591
1.63121,30.5285,0.219811,16620
1.69998,33.48,0.175517,63808
1.75201,33.5833,0.56687,113061
1.8094,32.677,0.673304,54112
1.87783,28.4328,-0.48167,93386
1.9289,28.4808,-0.479908,102985
1.98506,28.7285,-0.188253,24398
2.06152,29.5973,1.10663,53233
2.11291,29.5403,0.173594,120409
2.16913,30.3389,-0.393289,62797
2.23715,31.1049,0.464467,93968
2.28905,30.7327,0.0894308,100292
2.35223,27.1746,0.419772,37847
2.41748,24.2184,0.271209,103358
2.46773,25.0641,-0.45722,91895
2.52164,26.2531,-1.57287,15516
2.6046,28.8221,1.08842,23819
2.65647,28.7802,0.373712,107844
2.70669,28.7917,0.144098,84566
2.76476,27.8629,0.300796,13008
2.84223,25.6489,0.548627,41498
2.89417,25.9386,0.153306,116955
2.94599,26.0862,-0.328282,62956
3.01941,29.9422,0.959331,38510
3.07521,30.9613,-0.050541,113384
3.12604,31.0452,-1.84176,71625
3.19673,25.3155,-0.856019,25683
3.25765,23.572,-0.681386,95267
3.30892,23.7493,-1.08893,98765
3.37596,27.6829,1.02646,56817
3.43424,29.619,-0.823919,117116
3.48636,29.5487,-3.8436,65700
3.55925,26.2289,-1.18785,49372
3.61395,25.3405,-1.37751,114131
3.66562,25.2888,-2.23211,62479
3.738,27.3611,-1.28433,21767
3.79811,28.4914,-0.479551,95150
3.8483,28.6019,-1.30346,97800
3.90228,27.9461,-1.83003,18366
3.98425,24.9686,-1.18452,25829
4.03622,24.9408,-1.93257,108243
4.08691,25.2407,-2.41175,81870
4.14365,27.1043,-2.45653,12676
4.22344,33.2922,-0.621876,34496
4.27475,33.4048,-0.719289,113834
4.32638,33.4983,-0.785397,70300
4.38587,33.812,-0.756801,10109
4.46266,33.214,-1.08701,47307
4.5133,33.1957,-1.22842,121038
4.56642,32.9602,-0.816606,58732
4.63979,29.5429,0.0292492,58474
4.69254,29.5905,-0.453563,117101
4.75014,30.3329,-0.827255,63113
4.81678,31.6166,-0.724415,103057
4.86799,31.5309,-1.06011,95172
4.92417,33.3528,-0.93116,18369
5.0022,37.2136,-0.260548,51561
5.05264,37.3141,-0.331003,125316
5.10286,37.8692,-0.440033,46087
5.17937,30.715,-0.594281,9918
5.24022,29.8682,-0.570761,68849
5.29109,30.3093,-0.877273,116301
5.35023,29.6506,-0.836754,51792
5.41708,28.7108,-0.309911,96080
5.46851,28.8175,-0.654969,96264
5.52145,29.375,-0.712339,17623
5.60514,33.9038,0.117568,7882
5.66022,34.4791,0.0273957,70530
5.71101,34.9057,-0.240604,114616
5.76923,34.0326,0.145935,46582
5.83797,30.7701,0.283607,90925
5.88917,30.6314,-0.119287,103417
5.94726,31.7469,-0.790146,27466
6.02045,32.8801,0.241745,66262
6.07115,32.3748,-0.0772374,118286
6.12422,32.2632,-0.126092,38169
6.20177,30.6245,-0.241236,41845
6.25416,30.6563,-0.272798,119347
6.30515,30.4277,-0.522161,60510
6.3791,32.0256,0.871633,25835
6.43662,33.0165,-0.329019,97041
6.48867,33.5734,-0.905205,91112
6.54117,34.6978,-2.57222,18067
6.6248,35.7143,-0.0784984,18728
6.67708,35.5643,-0.316257,93861
6.72918,35.5005,-0.16574,96053
6.79365,34.7946,0.395327,44592
6.85598,34.6497,0.119598,104528
6.9076,34.5398,-0.566902,84165
6.96107,34.1303,-0.907126,12935
7.04451,24.6295,0.896356,8283
7.10009,22.9119,0.376983,68177
7.15129,23.2236,-0.156564,114288
7.20271,24.1619,-0.869113,35003
7.25683,27.0417,-1.83323,2036
Acetonitrile,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-8.18551,11.4316,3.61349,890
-8.13047,13.8779,1.90101,21526
-8.07763,14.4579,0.778976,101662
-8.02739,14.2986,-0.519935,88536
-7.97483,13.3003,-1.69326,14451
-7.90314,10.8366,-1.17319,825
-7.82848,15.1826,0.134394,20450
-7.77816,14.7786,0.0697877,101723
-7.72695,14.9534,0.422436,91139
-7.6635,15.0447,0.0578502,26730
-7.59647,14.4541,0.247693,86878
-7.54561,14.4856,0.578701,104367
-7.4911,14.8824,0.915839,24786
-7.41263,13.4765,0.0699186,39893
-7.35914,13.1514,0.380275,125882
-7.30228,13.1441,0.577696,162402
-7.24708,13.0925,0.11851,106640
-7.19557,12.7429,-0.4649,18429
-7.11445,12.111,0.744942,1265
-7.05059,13.1688,1.1227,24958
-6.99899,13.6052,0.664822,108586
-6.94695,13.3187,0.37868,88296
-6.87751,12.4992,1.16386,65472
-6.82281,12.6986,0.0142731,114963
-6.77,12.2444,-0.890752,47695
-6.69442,12.3488,0.402042,24666
-6.63797,12.5499,0.571296,111403
-6.58821,12.5375,0.147988,87759
-6.51861,13.8355,0.469188,32443
-6.45837,14.3188,0.748184,99701
-6.40747,13.6505,0.126515,87466
-6.35403,13.4744,0.272939,15285
-6.27299,15.2209,3.16113,2025
-6.21192,13.4329,1.50818,36432
-6.15942,12.8149,1.02894,116787
-6.10212,13.1468,1.26432,135685
-6.04412,13.34,0.925585,121409
-5.99159,14.2847,-0.115161,40647
-5.92875,14.751,0.0628209,3529
-5.8503,14.181,2.6138,19651
-5.79756,13.9591,1.42856,97542
-5.74617,13.9706,0.23077,96387
-5.67833,12.9915,0.622751,70969
-5.62256,12.5704,0.768708,118738
-5.57095,12.3485,0.428633,47034
-5.49581,11.4607,2.2654,13873
-5.43559,10.4697,1.77045,84178
-5.38592,10.102,0.208964,110944
-5.33456,10.2353,-1.49577,21680
-5.25012,9.28799,3.4441,8840
-5.19534,8.71355,1.81753,73320
-5.14415,8.35554,0.684119,111230
-5.09239,8.30163,-0.134569,33269
-5.01239,9.98743,1.72374,10368
-4.95507,9.38821,1.92545,83066
-4.90432,9.11909,0.926388,121275
-4.83957,8.34199,1.47071,101703
-4.78516,7.92662,0.972443,111899
-4.73281,7.93976,0.171097,27939
-4.65209,10.7013,1.01577,15913
-4.59616,11.264,1.55615,85535
-4.54589,11.2322,1.10329,103392
-4.48133,8.855,0.980004,45119
-4.41861,6.24995,1.2514,106827
-4.36796,6.04112,1.17857,86468
-4.30987,7.12159,1.55994,14427
-4.23264,10.6264,1.12813,45183
-4.18153,10.4058,1.00935,118665
-4.12693,10.2786,0.964461,67308
-4.05682,9.81304,1.11768,84692
-4.00512,9.75587,1.13999,109761
-3.95346,9.07221,1.42999,26176
-3.87516,7.24754,3.32175,3098
-3.81238,7.11134,2.47168,40443
-3.76068,7.38955,1.20373,113324
-3.70652,6.7884,0.509342,76476
-3.63753,5.96788,1.15443,89340
-3.58559,5.73828,0.755314,108479
-3.53289,6.43673,-0.0521776,24659
-3.45088,7.32324,0.931734,28729
-3.39923,6.3781,0.89636,115871
-3.34844,6.46009,0.538757,77730
-3.2758,4.91164,1.75779,45424
-3.2209,5.07692,1.33822,118303
-3.16982,5.36894,0.762674,63687
-3.10254,8.31718,1.9058,9967
-3.03371,9.70221,2.5995,61542
-2.98341,9.4134,1.76437,120698
-2.9311,9.01778,1.50434,40320
-2.85268,6.74812,2.92806,32624
-2.79975,6.24907,2.33728,111323
-2.7487,6.11061,1.63199,74674
-2.68513,7.18768,1.75506,13991
-2.61433,8.47052,2.2995,61819
-2.56272,8.16589,2.23053,115185
-2.51096,8.05702,2.13418,45256
-2.4325,3.97114,3.16624,41165
-2.38111,4.18251,2.40255,119580
-2.32957,3.66031,1.81992,65256
-2.25438,3.08526,2.73152,50575
-2.20177,3.36795,2.4672,123903
-2.15173,2.84667,1.87571,51709
-2.08588,2.56761,1.91407,5099
-2.01253,3.37414,2.75123,35028
-1.9598,2.4065,2.46557,112427
-1.90896,2.49138,2.12395,70023
-1.85322,4.20218,2.23821,9553
-1.77086,1.96492,3.00485,33486
-1.72021,2.16114,2.29838,121022
-1.66967,1.73974,1.83694,66625
-1.5949,1.58897,2.27554,27463
-1.53852,0.354729,2.15644,108268
-1.48709,0.0332555,1.91271,90312
-1.41723,2.34386,2.21437,63917
-1.36257,2.87353,1.89202,120722
-1.30926,2.20372,1.54122,50462
-1.23498,0.324813,1.89965,60891
-1.18254,0,1.58584,119658
-1.13157,0.0474835,1.30878,43912
-1.05363,10.476,3.41055,15260
-0.996445,12.6862,3.52365,85067
-0.945924,12.6739,3.07292,105945
-0.89235,12.3151,2.72419,23518
-0.811209,10.9225,4.80973,28673
-0.759396,10.7358,3.95242,112751
-0.708997,10.7525,3.25869,77571
-0.642,11.1556,3.90892,16499
