Propanenitrile,,,
"z (Angstroms)","PE (kcal/mol)","F (kcal/mol-Angstrom)","Number of samples"
-0.8558,9.48232,0.113362,87354
-0.804472,9.59586,-0.228335,101286
-0.745615,8.67808,0.154573,31908
-0.674157,4.73929,2.19395,73042
-0.623172,4.2439,1.87273,113534
-0.564824,4.28636,1.50676,45180
-0.495988,5.19748,1.04639,84603
-0.44387,5.06773,0.834361,103916
-0.39143,4.90728,0.804337,26049
-0.323894,6.10135,1.16807,2165
-0.249001,6.26573,1.89556,24088
-0.197561,6.12589,1.61049,103155
-0.146184,6.20473,1.59493,87160
-0.0790037,5.49431,0.831934,31338
-0.0169391,2.30109,0.81097,93558
0.0350939,0.61026,1.04794,92869
0.0894288,0,1.41674,22111
